iter	RMSE
969	1748395.434
970	1748005.524
971	1747628.55
972	1747305.972
973	1747010.849
974	1746831.12
975	1746511.365
976	1746175.511
977	1746026.234
978	1745775.946
979	1745476.043
980	1745173.487
981	1744828.074
982	1744458.237
983	1744132.525
984	1743875.08
985	1743656.599
986	1743222.582
987	1742904.753
988	1742594.88
989	1742227.826
990	1741972.411
991	1741701.944
992	1741538.9
993	1741141.507
994	1740826.226
995	1740392.779
996	1740171.284
997	1739866.734
998	1739566.031
999	1739374.486
